request_rate_per_min,time_of_access,kyber_key_gen_time,kyber_encaps_time,kyber_decaps_time,kyber_layer_execution_skew,kyber_time_diff,mceliece_key_gen_time,mceliece_encaps_time,mceliece_decaps_time,mceliece_decaps_success,falcon_key_gen_time,falcon_sign_time,falcon_verify_time,falcon_signature_valid,ntru_key_gen_time,ntru_encaps_time,ntru_decaps_time,ntru_decaps_success,dilithium_key_gen_time,dilithium_sign_time,dilithium_verify_time,dilithium_triggered,kyber_cipher_size,ntru_output_size,mceliece_key_size_kb,crypto_total_time,total_encap_time,total_decap_time,success_rate,is_anomaly,triggered_escape_mechanism
24,15:30:00,14,7.9,8.6,5.4,-0.7,59.7,14.1,13.1,TRUE,23.6,24.3,11.5,TRUE,18.2,9.8,8.5,TRUE,22.7,22.3,9.6,FALSE,1184,1024,1390,267.9,31.8,30.2,1,FALSE,FALSE
13,15:30:01,11.9,7,8.3,3.6,-1.3,54.3,15.2,11.7,TRUE,16.3,20.8,14.9,TRUE,14.5,9.1,7.6,TRUE,23.1,26.2,12.4,FALSE,1184,1024,1390,253.3,31.3,27.6,1,FALSE,FALSE
45,15:30:02,11.8,9.9,8,3.8,1.9,58,16.5,14.3,TRUE,15.8,27.5,9.6,TRUE,15.4,7,7.7,TRUE,21.7,27.1,10,FALSE,1184,1024,1390,260.3,33.4,30,1,FALSE,FALSE
41,15:30:03,11.6,7.5,9.1,2.5,-1.6,62.2,16.9,12.3,TRUE,20,19.7,12.6,TRUE,14.2,8.3,9.6,TRUE,21.1,29,15,FALSE,1184,1024,1390,269.1,32.7,31,1,FALSE,FALSE
38,15:30:04,12,7.8,6.9,5.1,0.9,53.8,15.7,17.1,TRUE,15.4,27.4,14.7,TRUE,14.9,10,9.4,FALSE,21.9,32.7,7.8,TRUE,1184,1024,1390,267.5,33.5,33.4,0.7,FALSE,FALSE
27,15:30:05,14.6,8.1,7.7,6.9,0.4,53,14,15.8,TRUE,19.3,19,11.6,TRUE,15.7,10.5,8.5,TRUE,23,26.4,14,FALSE,1184,1024,1390,261.2,32.6,32,1,FALSE,FALSE
23,15:30:06,13.2,9,7.3,5.9,1.7,55.8,12.2,13.2,TRUE,18,23.8,9.1,TRUE,15.6,9.3,9,TRUE,21,25.6,12.7,FALSE,1184,1024,1390,254.8,30.5,29.5,1,FALSE,FALSE
79,15:30:07,13.8,9.9,8.2,5.6,1.7,56,15.6,13.9,FALSE,19.8,24.8,8.2,TRUE,14.9,9.1,11.5,TRUE,18.5,31.4,14.5,TRUE,1184,1024,1390,270.1,34.6,33.6,0.7,TRUE,TRUE
21,15:30:08,14.6,7.1,9.4,5.2,-2.3,54.5,11.9,14.1,TRUE,14.8,26.8,16.4,FALSE,13,8.4,9.1,TRUE,18.8,29.4,11.2,TRUE,1184,1024,1390,259.5,27.4,32.6,0.7,FALSE,FALSE
64,15:30:09,16.1,7.2,7.7,8.4,-0.5,58.3,16.6,11.5,TRUE,21.4,21.3,12.5,TRUE,17.6,7.4,9.2,TRUE,18,29.6,13.6,FALSE,1184,1024,1390,268,31.2,28.4,1,TRUE,FALSE
